trackId,ticks,on,idx,pitch,velocity
4, 27125, Note_on_c, 0, 69, 127
4, 27264, Note_off_c, 0, 69, 127
4, 27264, Note_on_c, 0, 66, 127
4, 27824, Note_off_c, 0, 66, 127
4, 27824, Note_on_c, 0, 69, 127
4, 28032, Note_off_c, 0, 69, 127
4, 28032, Note_on_c, 0, 66, 127
4, 29097, Note_on_c, 0, 71, 127
4, 29184, Note_off_c, 0, 66, 127
4, 29184, Note_on_c, 0, 69, 127
4, 29319, Note_off_c, 0, 71, 127
4, 29568, Note_off_c, 0, 69, 127
4, 29568, Note_on_c, 0, 66, 127
4, 30963, Note_off_c, 0, 66, 127
4, 30963, Note_on_c, 0, 64, 127
4, 31104, Note_off_c, 0, 64, 127
4, 31104, Note_on_c, 0, 64, 127
4, 32256, Note_off_c, 0, 64, 127
4, 32256, Note_on_c, 0, 66, 127
4, 32640, Note_off_c, 0, 66, 127
4, 32640, Note_on_c, 0, 64, 127
4, 33792, Note_off_c, 0, 64, 127
4, 33792, Note_on_c, 0, 66, 127
4, 34176, Note_off_c, 0, 66, 127
4, 34176, Note_on_c, 0, 64, 127
4, 34944, Note_off_c, 0, 64, 127
